Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2019-12-30,42.3884016528,43.053397639,44.0398022743,41.7494085421
LTC,2019-12-31,41.2135751098,42.3886883502,42.8829663267,40.9010414843
LTC,2020-01-01,41.3854447327,41.2135247348,41.9880705697,41.0529519265
LTC,2020-01-02,39.416136052,41.3844004142,41.5935405938,39.1264816538
LTC,2020-01-03,41.7107348752,39.418568366,42.296355103,38.7307213925
LTC,2020-01-04,42.5919713235,41.7102558434,42.8027245789,41.7016285454
LTC,2020-01-05,43.2595222038,42.5868265877,44.545911045,42.352389375
LTC,2020-01-06,45.66345252,43.2584166244,45.7809421255,43.1532030685
LTC,2020-01-07,46.1654350959,45.663836237,46.7878458068,44.5108695488
LTC,2020-01-08,45.4574573054,46.1667195738,48.5392666973,44.1137500584
LTC,2020-01-09,44.5191597178,45.3194648258,45.7353034181,43.904988021
LTC,2020-01-10,48.5887641666,44.5200013702,49.6397563917,43.7502783874
LTC,2020-01-11,50.1435685191,49.046598645,51.8653635057,47.8434568176
LTC,2020-01-12,50.9612892245,50.1434182158,51.6534818048,48.8181047647
LTC,2020-01-13,49.617935363,50.9666364012,51.5635846247,48.8915736276
LTC,2020-01-14,58.1440668781,49.6765419452,60.6969178378,49.663065242
LTC,2020-01-15,58.9737477947,58.161852099,60.1686846064,55.2828235613
LTC,2020-01-16,57.6743761979,58.9729361702,59.1844737899,54.7033390243
LTC,2020-01-17,61.9962403605,57.6742962112,63.1303190144,56.7328348715
LTC,2020-01-18,60.0299024046,61.9989489425,62.3423446143,57.9329125864
LTC,2020-01-19,57.2688770088,60.0298796361,62.4285794414,55.3760218576
LTC,2020-01-20,57.2072406007,57.2601072636,58.133653287,55.8076048449
LTC,2020-01-21,57.4114008536,57.2111039106,57.9761455207,55.8766573656
LTC,2020-01-22,57.8076277424,57.4111916774,59.1406792302,57.1353108727
LTC,2020-01-23,54.0910129377,57.8075124907,58.1887602251,52.2990148198
LTC,2020-01-24,54.5840050128,54.3728391198,55.2785617802,50.6245323377
LTC,2020-01-25,53.5550523709,54.5832816129,54.752429632,52.2055048847
LTC,2020-01-26,55.7586574292,53.5564816109,56.5103325328,52.803633547
LTC,2020-01-27,58.5287489911,55.7586376925,59.4759296362,55.7585960999
LTC,2020-01-28,59.3921746886,58.5164461403,61.4006333723,57.26720121
LTC,2020-01-29,60.0726005253,59.3921633767,62.3748398973,59.2222761089
LTC,2020-01-30,68.9488986893,59.7083198065,70.08596876,58.1667205343
LTC,2020-01-31,68.4030324331,68.9797196163,69.8223413659,65.3593360257
LTC,2020-02-01,70.5020977256,68.385620458,72.8279614699,67.4447785511
LTC,2020-02-02,70.8369437278,70.7607545588,73.3772100401,67.6806729924
LTC,2020-02-03,69.5287330649,70.8368672324,72.8826576398,68.3977556333
LTC,2020-02-04,67.7480300194,69.6363169804,70.3577049765,66.5852677227
LTC,2020-02-05,72.5477847171,67.7462724571,73.3791130765,67.5006736168
LTC,2020-02-06,72.8779886976,72.5360480956,74.9874619551,70.944333071
LTC,2020-02-07,73.9990819417,72.8771678692,75.3141300752,72.5813285499
LTC,2020-02-08,77.2549540374,73.9989664222,77.751332102,71.5585014109
LTC,2020-02-09,76.9920677031,76.6730732128,78.4584675283,75.1530033889
LTC,2020-02-10,73.7817456172,76.992056879,77.473221319,72.355215457
LTC,2020-02-11,76.9402913072,74.0367079645,77.572600811,72.6000600443
LTC,2020-02-12,81.6898093912,76.9403812475,82.9912550926,76.6168395047
LTC,2020-02-13,79.8295808845,81.6840472683,84.4264048963,77.3457093435
LTC,2020-02-14,83.6444990423,80.6060743591,83.7071401887,78.5947393457
LTC,2020-02-15,77.0347271439,83.6442482246,83.9346203319,75.1037920002
LTC,2020-02-16,73.6789282447,77.034682697,80.7293989612,67.8723998056
LTC,2020-02-17,72.0495678568,74.8383663105,75.4508953132,68.7199690587
LTC,2020-02-18,77.2712700143,72.0639682471,79.1348340096,70.3000436459
LTC,2020-02-19,72.5201873648,77.2750221126,79.5323165571,67.8219174608
LTC,2020-02-20,69.8651618142,70.692655223,72.3809425745,66.315441543
LTC,2020-02-21,72.7829559658,69.8642158088,75.3726784413,68.7280620505
LTC,2020-02-22,75.5032443447,73.4064854751,76.7273466141,72.4862771356
LTC,2020-02-23,79.3385013616,75.4695342602,80.1957564812,74.5977151638
LTC,2020-02-24,75.1175154679,79.3270281035,80.0519385182,71.7823890625
LTC,2020-02-25,72.0203760158,75.1170583833,76.0667584718,69.5928479252
LTC,2020-02-26,61.0268769367,72.0200914467,72.0686647146,57.4608140855
LTC,2020-02-27,62.2802877446,61.0165168601,65.1464210027,57.2379915907
LTC,2020-02-28,61.0410096898,61.7165165786,63.3938641885,56.9132327129
LTC,2020-02-29,59.0237828568,61.039842619,61.6985329935,58.1971114107
LTC,2020-03-01,57.9847838555,59.0240507796,60.2666212873,56.1854007578
LTC,2020-03-02,61.1268741904,57.9832845768,62.3533866113,57.244648609
LTC,2020-03-03,61.1600748215,61.4762643422,62.4547437552,59.4972896116
LTC,2020-03-04,60.3446842108,61.1593272007,61.7792582631,58.8937956542
LTC,2020-03-05,61.8018724224,60.3393564644,63.3243192025,60.0576219114
LTC,2020-03-06,62.8256257334,62.1166762958,63.9300755052,61.3209091932
LTC,2020-03-07,60.9076843859,62.8248122645,64.0125474041,60.1399825811
LTC,2020-03-08,52.0751007678,60.9018259339,60.9323903228,51.1722094557
LTC,2020-03-09,49.8079622716,52.0758423929,53.3388036556,46.6387885269
LTC,2020-03-10,50.5973790887,50.473961885,51.4284746429,48.9767100478
LTC,2020-03-11,48.6865166971,50.599088442,50.7218443778,45.5108800506
LTC,2020-03-12,33.3934334033,48.6984205341,48.8791358552,30.4381805426
